Date,Opponent,Start#,AvgArmAngle,Extension,HorzRelPoint,VertRelPoint
30-Apr,TOR,1,49.2,6.96,-1.65,6.02
6-May,TEX,2,50.8,7.01,-1.71,6.08
11-May,KC,3,49.2,6.87,-1.55,6.05
17-May,ATL,4,48.4,6.93,-1.75,5.99
24-May,BAL,5,48,6.98,-1.64,5.94
30-May,ATL,6,49.5,6.98,-1.52,6.23
4-Jun,LAA,7,48.6,6.78,-1.61,6.09
10-Jun,TB,8,51.2,6.86,-1.38,6.16
16-Jun,SEA,9,50.7,6.77,-1.42,6.14
22-Jun,SF,10,52.1,6.68,-1.3,6.38
28-Jun,TOR,11,52.8,6.78,-1.27,6.23
4-Jul,WSH,12,53.7,6.59,-1.48,6.41
9-Jul,COL,13,54.7,6.71,-1.25,6.27
