Date,Opponent,StartNum,Pitches,Strikes,Balls,Strike%,TBF,K,K%,B,B%,H,H%,FF,FF%,SL,SL%,CB,CB%,CH,CH%,SECOND,SECOND%
30-Apr,TOR,1,90,61,29,67.77777778,25,7,28,2,8,5,20,51,56.66666667,5,5.555555556,2,2.222222222,32,35.55555556,39,43.33333333
6-May,TEX,2,74,49,25,66.21621622,20,2,10,1,5,10,50,45,60.81081081,1,1.351351351,1,1.351351351,27,36.48648649,29,39.18918919
11-May,KC,3,88,59,29,67.04545455,23,5,21.73913043,1,4.347826087,2,8.695652174,43,48.86363636,19,21.59090909,9,10.22727273,17,19.31818182,45,51.13636364
17-May,ATL,4,87,52,35,59.77011494,22,3,13.63636364,2,9.090909091,8,36.36363636,33,37.93103448,31,35.63218391,5,5.747126437,18,20.68965517,54,62.06896552
24-May,BAL,5,99,63,36,63.63636364,25,6,24,2,8,6,24,37,37.37373737,33,33.33333333,2,2.02020202,27,27.27272727,62,62.62626263
30-May,ATL,6,85,56,29,65.88235294,21,3,14.28571429,2,9.523809524,5,23.80952381,33,38.82352941,28,32.94117647,0,0,24,28.23529412,52,61.17647059
4-Jun,LAA,7,43,22,21,51.1627907,14,1,7.142857143,1,7.142857143,8,57.14285714,15,34.88372093,18,41.86046512,0,0,10,23.25581395,28,65.11627907
10-Jun,TB,8,98,63,35,64.28571429,23,4,17.39130435,3,13.04347826,3,13.04347826,56,57.14285714,15,15.30612245,3,3.06122449,24,24.48979592,42,42.85714286
16-Jun,SEA,9,91,58,33,63.73626374,21,10,47.61904762,1,4.761904762,3,14.28571429,47,51.64835165,25,27.47252747,4,4.395604396,15,16.48351648,44,48.35164835
22-Jun,SF,10,83,52,31,62.65060241,22,5,22.72727273,1,4.545454545,4,18.18181818,46,55.42168675,18,21.68674699,1,1.204819277,18,21.68674699,37,44.57831325
28-Jun,TOR,11,105,72,33,68.57142857,29,5,17.24137931,1,3.448275862,6,20.68965517,58,55.23809524,30,28.57142857,2,1.904761905,15,14.28571429,47,44.76190476
4-Jul,WSH,12,108,75,33,69.44444444,29,7,24.13793103,3,10.34482759,4,13.79310345,54,50,26,24.07407407,4,3.703703704,24,22.22222222,54,50
9-Jul,COL,13,92,63,29,68.47826087,20,6,30,0,0,4,20,56,60.86956522,14,15.2173913,6,6.52173913,16,17.39130435,36,39.13043478
SEASON,N/A,N/A,1143,745,398,65.17935258,294,64,21.76870748,20,6.802721088,68,23.1292517,574,50.21872266,263,23.0096238,39,3.412073491,267,23.35958005,569,49.78127734
